title,description,repo_url,github_url,github_stars,language,published_date,source_url,source_name,owner
ICCV2019-LearningToPaint,ICCV2019 - Learning to Paint With Model-based Deep Reinforcement Learning,https://github.com/hzwer/ICCV2019-LearningToPaint,https://github.com/hzwer/ICCV2019-LearningToPaint,2301,Python,2019-03-11T03:56:03+00:00Z,https://github.com/hzwer/ICCV2019-LearningToPaint,GitHub,hzwer
TensorFlow-and-DeepLearning-Tutorial,A TensorFlow & Deep Learning online course I taught in 2016,https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,2298,Python,2016-10-08T06:01:45+00:00Z,https://github.com/CreatCodeBuild/TensorFlow-and-DeepLearning-Tutorial,GitHub,CreatCodeBuild
flow-forecast,"Deep learning PyTorch library for time series forecasting, classification, and anomaly detection (originally for flood forecasting).",https://github.com/AIStream-Peelout/flow-forecast,https://github.com/AIStream-Peelout/flow-forecast,2287,Python,2019-08-15T17:02:09+00:00Z,https://github.com/AIStream-Peelout/flow-forecast,GitHub,AIStream-Peelout
RoseTTAFold,This package contains deep learning models and related scripts for RoseTTAFold,https://github.com/RosettaCommons/RoseTTAFold,https://github.com/RosettaCommons/RoseTTAFold,2250,Python,2021-06-29T21:14:40+00:00Z,https://github.com/RosettaCommons/RoseTTAFold,GitHub,RosettaCommons
MedicalNet,Many studies have shown that the performance on deep learning is significantly affected by volume of training data. The MedicalNet project provides a series of 3D-ResNet pre-trained models and relative code.,https://github.com/Tencent/MedicalNet,https://github.com/Tencent/MedicalNet,2242,Python,2019-07-17T09:53:10+00:00Z,https://github.com/Tencent/MedicalNet,GitHub,Tencent
raster-vision,An open source library and framework for deep learning on satellite and aerial imagery.,https://github.com/azavea/raster-vision,https://github.com/azavea/raster-vision,2229,Python,2017-02-02T14:31:54+00:00Z,https://github.com/azavea/raster-vision,GitHub,azavea
zhusuan,"A probabilistic programming library for Bayesian deep learning, generative models, based on Tensorflow",https://github.com/thu-ml/zhusuan,https://github.com/thu-ml/zhusuan,2218,Python,2016-07-18T13:31:38+00:00Z,https://github.com/thu-ml/zhusuan,GitHub,thu-ml
tensorflow-speech-recognition,"🎙Speech recognition using the tensorflow deep learning framework, sequence-to-sequence neural networks",https://github.com/pannous/tensorflow-speech-recognition,https://github.com/pannous/tensorflow-speech-recognition,2173,Python,2015-12-07T10:02:43+00:00Z,https://github.com/pannous/tensorflow-speech-recognition,GitHub,pannous
spikingjelly,SpikingJelly is an open-source deep learning framework for Spiking Neural Network (SNN) based on PyTorch.,https://github.com/fangwei123456/spikingjelly,https://github.com/fangwei123456/spikingjelly,2072,Python,2019-12-17T07:23:55+00:00Z,https://github.com/fangwei123456/spikingjelly,GitHub,fangwei123456
Advanced-Deep-Learning-with-Keras," Advanced Deep Learning with Keras, published by Packt",https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,2013,Python,2018-03-15T07:08:43+00:00Z,https://github.com/PacktPublishing/Advanced-Deep-Learning-with-Keras,GitHub,PacktPublishing
snntorch,Deep and online learning with spiking neural networks in Python,https://github.com/jeshraghian/snntorch,https://github.com/jeshraghian/snntorch,2013,Python,2020-09-28T22:14:20+00:00Z,https://github.com/jeshraghian/snntorch,GitHub,jeshraghian
DIG,A library for graph deep learning research,https://github.com/divelab/DIG,https://github.com/divelab/DIG,2005,Python,2020-10-30T03:51:15+00:00Z,https://github.com/divelab/DIG,GitHub,divelab
PassGAN,A Deep Learning Approach for Password Guessing (https://arxiv.org/abs/1709.00440),https://github.com/brannondorsey/PassGAN,https://github.com/brannondorsey/PassGAN,2005,Python,2017-12-20T01:35:31+00:00Z,https://github.com/brannondorsey/PassGAN,GitHub,brannondorsey
keras-applications,Reference implementations of popular deep learning models.,https://github.com/keras-team/keras-applications,https://github.com/keras-team/keras-applications,1991,Python,2018-06-01T19:00:18+00:00Z,https://github.com/keras-team/keras-applications,GitHub,keras-team
spark-deep-learning,Deep Learning Pipelines for Apache Spark,https://github.com/databricks/spark-deep-learning,https://github.com/databricks/spark-deep-learning,1989,Python,2017-05-31T17:30:28+00:00Z,https://github.com/databricks/spark-deep-learning,GitHub,databricks
deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics,https://github.com/deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,1985,Python,2017-12-12T15:23:44+00:00Z,https://github.com/deepmodeling/deepmd-kit,GitHub,deepmodeling
Awesome-Backbones,Integrate deep learning models for image classification | Backbone learning/comparison/magic modification project,https://github.com/Fafa-DL/Awesome-Backbones,https://github.com/Fafa-DL/Awesome-Backbones,1952,Python,2022-01-04T07:00:57+00:00Z,https://github.com/Fafa-DL/Awesome-Backbones,GitHub,Fafa-DL
tensorflow-1.4-billion-password-analysis,Deep Learning model to analyze a large corpus of clear text passwords.,https://github.com/philipperemy/tensorflow-1.4-billion-password-analysis,https://github.com/philipperemy/tensorflow-1.4-billion-password-analysis,1952,Python,2017-12-14T09:02:08+00:00Z,https://github.com/philipperemy/tensorflow-1.4-billion-password-analysis,GitHub,philipperemy
DeepIE,DeepIE: Deep Learning for Information Extraction,https://github.com/loujie0822/DeepIE,https://github.com/loujie0822/DeepIE,1937,Python,2020-01-07T09:51:24+00:00Z,https://github.com/loujie0822/DeepIE,GitHub,loujie0822
MedicalZooPytorch,A pytorch-based deep learning framework for multi-modal 2D/3D medical image segmentation,https://github.com/black0017/MedicalZooPytorch,https://github.com/black0017/MedicalZooPytorch,1913,Python,2019-07-23T11:00:46+00:00Z,https://github.com/black0017/MedicalZooPytorch,GitHub,black0017
Deep3DFaceRecon_pytorch,Accurate 3D Face Reconstruction with Weakly-Supervised Learning: From Single Image to Image Set (CVPRW 2019). A PyTorch implementation.,https://github.com/sicxu/Deep3DFaceRecon_pytorch,https://github.com/sicxu/Deep3DFaceRecon_pytorch,1904,Python,2021-07-19T15:46:06+00:00Z,https://github.com/sicxu/Deep3DFaceRecon_pytorch,GitHub,sicxu
tensorflow_template_application,TensorFlow template application for deep learning,https://github.com/tobegit3hub/tensorflow_template_application,https://github.com/tobegit3hub/tensorflow_template_application,1875,Python,2016-07-18T10:54:20+00:00Z,https://github.com/tobegit3hub/tensorflow_template_application,GitHub,tobegit3hub
RLTrader,A cryptocurrency trading environment using deep reinforcement learning and OpenAI's gym,https://github.com/notadamking/RLTrader,https://github.com/notadamking/RLTrader,1859,Python,2019-04-27T18:35:15+00:00Z,https://github.com/notadamking/RLTrader,GitHub,notadamking
PGPortfolio,"PGPortfolio: Policy Gradient Portfolio, the source code of ""A Deep Reinforcement Learning Framework for the Financial Portfolio Management Problem""(https://arxiv.org/pdf/1706.10059.pdf).",https://github.com/ZhengyaoJiang/PGPortfolio,https://github.com/ZhengyaoJiang/PGPortfolio,1849,Python,2017-11-12T16:08:44+00:00Z,https://github.com/ZhengyaoJiang/PGPortfolio,GitHub,ZhengyaoJiang
DeepLearn,"Implementation of research papers on Deep Learning+ NLP+ CV in Python using Keras, Tensorflow and Scikit Learn.",https://github.com/GauravBh1010tt/DeepLearn,https://github.com/GauravBh1010tt/DeepLearn,1847,Python,2017-05-20T09:46:28+00:00Z,https://github.com/GauravBh1010tt/DeepLearn,GitHub,GauravBh1010tt
OnnxOCR,"基于PaddleOCR重构，并且脱离PaddlePaddle深度学习训练框架的轻量级OCR，推理速度超快   ——  A lightweight OCR system based on PaddleOCR, decoupled from the PaddlePaddle deep learning training framework, with ultra-fast inference speed.",https://github.com/jingsongliujing/OnnxOCR,https://github.com/jingsongliujing/OnnxOCR,1836,Python,2023-07-08T16:49:59+00:00Z,https://github.com/jingsongliujing/OnnxOCR,GitHub,jingsongliujing
aioway,"AI on the way. An auto deep learning pipe dream. An RDBMS approach to deep learning. Declarative, explainable, scalable, optimizable, easy to deploy, all that good stuff.",https://github.com/rentruewang/aioway,https://github.com/rentruewang/aioway,1826,Python,2021-11-17T08:37:36+00:00Z,https://github.com/rentruewang/aioway,GitHub,rentruewang
fold,Deep learning with dynamic computation graphs in TensorFlow,https://github.com/tensorflow/fold,https://github.com/tensorflow/fold,1818,Python,2017-01-18T17:45:53+00:00Z,https://github.com/tensorflow/fold,GitHub,tensorflow
CogDL,CogDL: A Comprehensive Library for Graph Deep Learning (WWW 2023),https://github.com/THUDM/CogDL,https://github.com/THUDM/CogDL,1818,Python,2019-03-18T15:29:35+00:00Z,https://github.com/THUDM/CogDL,GitHub,THUDM
DeepLearningImplementations,Implementation of recent Deep Learning papers,https://github.com/tdeboissiere/DeepLearningImplementations,https://github.com/tdeboissiere/DeepLearningImplementations,1811,Python,2016-09-10T10:45:07+00:00Z,https://github.com/tdeboissiere/DeepLearningImplementations,GitHub,tdeboissiere
Top-Deep-Learning, Top 200 deep learning Github repositories sorted by the number of stars.,https://github.com/mbadry1/Top-Deep-Learning,https://github.com/mbadry1/Top-Deep-Learning,1771,Python,2018-03-16T00:57:51+00:00Z,https://github.com/mbadry1/Top-Deep-Learning,GitHub,mbadry1
Research,novel deep learning research works with PaddlePaddle,https://github.com/PaddlePaddle/Research,https://github.com/PaddlePaddle/Research,1757,Python,2020-02-13T09:49:34+00:00Z,https://github.com/PaddlePaddle/Research,GitHub,PaddlePaddle
